BK015,泥岩,5煤,100.530,0.850,BK016,5煤,5煤,105.450,0.860,BK017,5煤,5煤,95.600,2.640,BK018,5煤,5煤,77.880,0.540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13-4,泥岩,,141.910,2.770,695,泥岩,5煤,66.230,0.140
BK015,5煤,5煤,101.550,1.020,BK016,泥岩,5煤,105.680,0.230,BK017,泥岩,5煤,95.900,0.300,BK018,炭质泥岩,5煤,78.040,0.160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13-4,煤,,142.510,0.600,695,5煤,5煤,66.590,0.360
BK015,炭质泥岩,5煤,101.800,0.250,BK016,5煤,5煤,110.390,4.710,BK017,5煤,5煤,97.160,1.260,BK018,5煤,5煤,80.490,2.450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13-4,泥岩,,142.910,0.400,695,泥岩,5煤,67.660,1.070
BK015,5煤,5煤,102.260,0.460,BK016,泥岩,,114.400,4.010,BK017,泥岩,5煤,97.380,0.220,BK018,泥岩,5煤,80.770,0.280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13-4,6煤,,143.170,0.260,695,5煤,5煤,67.910,0.250
BK015,炭质泥岩,5煤,102.540,0.280,BK016,炭质泥岩,,115.100,0.700,BK017,5煤,5煤,98.290,0.910,BK018,5煤,5煤,81.880,1.110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13-4,泥岩,6煤,144.110,0.940,695,泥岩,5煤,68.250,0.340
BK015,5煤,5煤,103.610,1.070,BK016,泥岩,,118.760,3.660,BK017,泥岩,5煤,98.540,0.250,BK018,泥岩,5煤,82.110,0.230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13-4,6煤,6煤,145.080,0.970,695,5煤,5煤,70.600,2.350
BK015,炭质泥岩,5煤,103.900,0.290,BK016,5下煤,5下煤,119.770,1.010,BK017,5煤,5煤,100.440,1.900,BK018,5煤,5煤,83.030,0.920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13-4,泥岩,6煤,145.230,0.150,695,泥岩,5煤,70.890,0.290
BK015,5煤,5煤,104.300,0.400,BK016,泥岩,,138.950,19.180,BK017,泥岩,5煤,103.660,3.220,BK018,泥岩,5煤,83.360,0.330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13-4,6煤,6煤,145.430,0.200,695,5煤,5煤,73.800,2.910
BK015,泥岩,5煤,104.610,0.310,BK016,粉砂岩,,142.100,3.150,BK017,5煤,5煤,105.650,1.990,BK018,5煤,5煤,84.500,1.140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13-4,泥岩,6煤,145.810,0.380,695,泥岩,5煤,74.040,0.240
BK015,5煤,5煤,104.810,0.200,BK016,泥岩,,144.390,2.290,BK017,泥岩,5煤,106.530,0.880,BK018,泥岩,,95.160,10.660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13-4,6煤,6煤,156.900,11.090,695,5煤,5煤,74.290,0.250
BK015,泥岩,5煤,105.090,0.280,BK016,6上煤,6上煤,146.900,2.510,BK017,5煤,5煤,108.550,2.020,BK018,5下煤,5下煤,95.810,0.650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13-4,泥岩,6煤,157.100,0.200,695,泥岩,5煤,74.470,0.180
