538,5煤,5煤,298.260,0.220,225,泥岩,12煤,565.730,0.120,BK217,砂质泥岩,,118.000,5.460,  灰色，深灰色，泥质结构，块状构造，断口平坦状，含少量炭屑，局部夹细砂岩薄层，半坚硬。,224,6下煤,6下煤,124.170,0.270,BK218,炭质泥岩,6煤,149.050,0.300,炭质泥岩:灰色，坚硬，具外生裂隙，砾径5-30mm,,,,,
538,泥岩,5煤,298.440,0.180,225,12煤,12煤,565.940,0.210,BK217,细粒砂岩,,118.500,0.500,  灰色，细粒砂状结构，厚层状构造，成分以石英为主，长石次之，云母及暗色矿物少量，分选中等，泥质胶结，均匀层理，半坚硬。,224,细粒砂岩,,145.850,21.680,BK218,煤,6煤,150.240,1.190,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕，断口平坦状，污手，属暗淡型煤，夹泥岩夹矸薄层，半坚硬。,,,,,
538,5煤,5煤,298.540,0.100,225,泥岩,12煤,571.040,5.100,BK217,泥岩,,121.440,2.940,  深灰色，泥质结构，块状构造，断口平坦状，含炭化植物碎屑及茎叶化石，半坚硬。,224,7煤,7煤,145.950,0.100,BK218,炭质泥岩,6煤,150.540,0.300,炭质泥岩:灰色，坚硬，具外生裂隙，砾径5-30mm,,,,,
538,泥岩,5煤,298.780,0.240,225,12煤,12煤,571.160,0.120,BK217,煤,6煤,141.300,19.860,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕，断口平坦状，污手，属暗淡型煤，半坚硬。其中有泥岩夹矸1层。煤,224,细粒砂岩,,153.020,7.070,BK218,煤,6煤,152.180,1.640,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕，断口平坦状，污手，属暗淡型煤，夹泥岩夹矸薄层，半坚硬。,,,,,
538,5煤,5煤,298.940,0.160,225,泥岩,12煤,571.240,0.080,BK217,炭质泥岩,6煤,141.560,0.260,炭质泥岩:灰色，坚硬，具外生裂隙，砾径5-30mm,224,8煤,8煤,153.300,0.280,BK218,粉砂岩,,157.800,5.620,  灰白色，粉砂状结构，厚层状构造，泥质胶结，均匀层理，合少量炭屑，顶部夹灰黑色泥岩薄层，半坚硬。,,,,,
538,泥岩,5煤,300.090,1.150,225,12煤,12煤,571.990,0.750,BK217,煤,6煤,143.760,2.200,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕，断口平坦状，污手，属暗淡型煤，半坚硬。其中有泥岩夹矸1层。煤,224,泥岩,,155.500,2.200,BK218,砂质泥岩,,185.200,27.400,  深灰色，泥质结构，块状构造，断口平坦状，砂多以粉砂为主，分布不均一，含少量炭屑，夹细砂岩薄层，半坚硬。,,,,,
538,5煤,5煤,300.260,0.170,225,泥岩,12煤,572.170,0.180,BK217,砂质泥岩,,153.360,9.600,  灰色，泥质结构，块状构造，砂多以粉砂为主，分布不均一，断口平坦状，夹粉砂岩薄层，含少量炭化植物碎屑及茎叶化石，半坚硬。。,224,9煤,9煤,156.000,0.500,,,,,,,,,,,
538,泥岩,5煤,300.390,0.130,225,12煤,12煤,572.620,0.450,BK217,中粒砂岩,,154.000,0.640,  灰色，中粒砂状结构，块状构造，成分以石英为主，长石次之，云母及暗色矿物少量，分选差，钙质胶结，致密，坚硬。,224,泥岩,,284.600,128.600,,,,,,,,,,,
538,5煤,5煤,300.450,0.060,225,泥岩,12煤,572.860,0.240,BK217,砂质泥岩,,178.100,24.100,  灰色，泥质结构，块状构造，砂多以粉砂为主，分布不均一，断口参差状，含少量炭化植物碎屑，夹细砂岩薄层，半坚硬。,224,11煤,11煤,284.760,0.160,,,,,,,,,,,
538,泥岩,5煤,300.560,0.110,225,12煤,12煤,573.840,0.980,,,,,,,224,泥岩,11煤,284.860,0.100,,,,,,,,,,,
538,5煤,5煤,300.640,0.080,225,泥岩,12煤,574.100,0.260,,,,,,,224,11煤,11煤,284.960,0.100,,,,,,,,,,,
538,泥岩,5煤,300.720,0.080,225,12煤,12煤,574.500,0.400,,,,,,,224,泥岩,,502.250,217.290,,,,,,,,,,,
538,5煤,5煤,300.780,0.060,225,泥岩,12煤,575.890,1.390,,,,,,,224,12煤,12煤,502.440,0.190,,,,,,,,,,,
538,泥岩,5煤,300.880,0.100,225,12煤,12煤,576.270,0.380,,,,,,,224,泥岩,12煤,505.240,2.800,,,,,,,,,,,
