12-4,泥岩,,174.270,1.990,12-6,6煤,6煤,197.870,8.300,BK014,泥质粉砂岩,6煤,156.590,0.300,12-1,中粒砂岩,,122.530,1.200,12-2,细粒砂岩,,120.560,1.330,,,,,,740,6煤,6煤,177.600,19.850,,,,,,700,泥岩,5煤,59.030,0.150
12-4,6-1煤,6-1煤,175.880,1.610,12-6,泥岩,6煤,198.420,0.550,BK014,6煤,6煤,157.010,0.420,12-1,泥岩,,127.080,4.550,12-2,中粒砂岩,,151.930,31.370,,,,,,740,泥岩,6煤,177.750,0.150,,,,,,700,5煤,5煤,61.660,2.630
12-4,泥岩,6-1煤,176.180,0.300,12-6,6煤,6煤,206.870,8.450,BK014,含炭泥岩,6煤,157.330,0.320,12-1,细粒砂岩,,129.180,2.100,12-2,6煤,6煤,152.330,0.400,,,,,,740,6煤,6煤,178.200,0.450,,,,,,700,泥岩,5煤,61.760,0.100
12-4,6-1煤,6-1煤,178.200,2.020,12-6,泥岩,6煤,207.270,0.400,BK014,6煤,6煤,157.960,0.630,12-1,泥岩,,131.260,2.080,12-2,泥岩,6煤,152.580,0.250,,,,,,740,粉砂岩,6煤,179.130,0.930,,,,,,700,5煤,5煤,62.460,0.700
12-4,泥岩,6-1煤,178.400,0.200,12-6,6煤,6煤,215.670,8.400,BK014,泥质粉砂岩,6煤,158.460,0.500,12-1,5下煤,5下煤,132.060,0.800,12-2,6煤,6煤,154.160,1.580,,,,,,740,6煤,6煤,179.800,0.670,,,,,,700,泥岩,5煤,62.540,0.080
12-4,6-1煤,6-1煤,181.100,2.700,12-6,粉砂岩,,217.670,2.000,BK014,6煤,6煤,160.010,1.550,12-1,泥岩,,138.980,6.920,12-2,粉砂岩,6煤,155.060,0.900,,,,,,740,细粒砂岩,,194.200,14.400,,,,,,700,5煤,5煤,62.690,0.150
12-4,泥岩,,187.040,5.940,12-6,6下煤,6下煤,219.000,1.330,BK014,炭质泥岩,6煤,160.240,0.230,12-1,细粒砂岩,,139.680,0.700,12-2,6煤,6煤,192.190,37.130,,,,,,,,,,,,,,,,700,泥岩,5煤,62.820,0.130
12-4,6煤,6煤,187.540,0.500,12-6,粉砂岩,,237.250,18.250,BK014,6煤,6煤,163.340,3.100,12-1,泥岩,,146.340,6.660,12-2,粉砂岩,6煤,192.420,0.230,,,,,,,,,,,,,,,,700,5煤,5煤,63.500,0.680
12-4,泥岩,6煤,187.940,0.400,,,,,,BK014,炭质泥岩,6煤,163.610,0.270,12-1,细粒砂岩,,149.990,3.650,12-2,6煤,6煤,194.000,1.580,,,,,,,,,,,,,,,,700,细粒砂岩,,86.950,23.450
12-4,6煤,6煤,188.240,0.300,,,,,,BK014,6煤,6煤,168.520,4.910,12-1,细粒砂岩,,154.110,4.120,12-2,细粒砂岩,,197.000,3.000,,,,,,,,,,,,,,,,700,5下煤,5下煤,87.210,0.260
12-4,泥岩,6煤,188.940,0.700,,,,,,BK014,炭质泥岩,6煤,168.920,0.400,12-1,细粒砂岩,,157.190,3.080,12-2,粉砂岩,,205.980,8.980,,,,,,,,,,,,,,,,700,炭质泥岩,5下煤,87.400,0.190
12-4,6煤,6煤,189.540,0.600,,,,,,BK014,6煤,6煤,171.440,2.520,12-1,泥岩,,160.850,3.660,,,,,,,,,,,,,,,,,,,,,700,5下煤,5下煤,88.650,1.250
12-4,泥岩,6煤,189.730,0.190,,,,,,BK014,含炭泥岩,6煤,171.790,0.350,12-1,6-1煤,6-1煤,161.570,0.720,,,,,,,,,,,,,,,,,,,,,700,含炭泥岩,5下煤,88.700,0.050
12-4,6煤,6煤,191.730,2.000,,,,,,BK014,6煤,6煤,173.160,1.370,12-1,泥岩,,162.670,1.100,,,,,,,,,,,,,,,,,,,,,700,5下煤,5下煤,91.300,2.600
12-4,泥岩,6煤,191.930,0.200,,,,,,BK014,炭质泥岩,6煤,173.400,0.240,12-1,中粒砂岩,,163.770,1.100,,,,,,,,,,,,,,,,,,,,,700,细粒砂岩,,118.090,26.790
12-4,6煤,6煤,193.370,1.440,,,,,,BK014,6煤,6煤,175.360,1.960,12-1,6煤,6煤,208.070,44.300,,,,,,,,,,,,,,,,,,,,,700,6煤,6煤,119.510,1.420
12-4,泥岩,6煤,193.520,0.150,,,,,,BK014,含炭泥岩,6煤,175.620,0.260,12-1,泥岩,,209.470,1.400,,,,,,,,,,,,,,,,,,,,,700,泥岩,6煤,119.700,0.190
12-4,6煤,6煤,213.010,19.490,,,,,,BK014,6煤,6煤,176.790,1.170,12-1,6下煤,6下煤,209.670,0.200,,,,,,,,,,,,,,,,,,,,,700,6煤,6煤,121.160,1.460
12-4,泥岩,6煤,213.410,0.400,,,,,,BK014,炭质泥岩,6煤,177.000,0.210,12-1,泥岩,6下煤,210.420,0.750,,,,,,,,,,,,,,,,,,,,,700,泥岩,6煤,121.220,0.060
12-4,6煤,6煤,217.290,3.880,,,,,,BK014,6煤,6煤,178.330,1.330,12-1,6下煤,6下煤,211.550,1.130,,,,,,,,,,,,,,,,,,,,,700,6煤,6煤,125.960,4.740
12-4,泥岩,6煤,217.340,0.050,,,,,,BK014,细粒砂岩,6煤,178.620,0.290,12-1,泥岩,,212.650,1.100,,,,,,,,,,,,,,,,,,,,,700,泥岩,6煤,126.080,0.120
12-4,砂质泥岩,6煤,217.740,0.400,,,,,,BK014,6煤,6煤,182.970,4.350,12-1,粉砂岩,,217.980,5.330,,,,,,,,,,,,,,,,,,,,,700,6煤,6煤,135.050,8.970
12-4,泥岩,6煤,218.040,0.300,,,,,,BK014,泥岩,6煤,183.270,0.300,12-1,细粒砂岩,,222.400,4.420,,,,,,,,,,,,,,,,,,,,,700,泥岩,6煤,135.150,0.100
12-4,6煤,6煤,218.340,0.300,,,,,,BK014,6煤,6煤,185.600,2.330,12-1,粉砂岩,,233.320,10.920,,,,,,,,,,,,,,,,,,,,,700,6煤,6煤,142.820,7.670
12-4,粉砂岩,,235.450,17.110,,,,,,BK014,含炭泥岩,6煤,185.840,0.240,,,,,,,,,,,,,,,,,,,,,,,,,,700,泥岩,6煤,142.900,0.080
,,,,,,,,,,BK014,6煤,6煤,187.440,1.600,,,,,,,,,,,,,,,,,,,,,,,,,,700,6煤,6煤,143.700,0.800
,,,,,,,,,,BK014,含炭泥岩,6煤,187.800,0.360,,,,,,,,,,,,,,,,,,,,,,,,,,700,泥岩,6煤,143.760,0.060
,,,,,,,,,,BK014,6煤,6煤,191.040,3.240,,,,,,,,,,,,,,,,,,,,,,,,,,700,6煤,6煤,153.050,9.290
,,,,,,,,,,BK014,炭质泥岩,6煤,191.370,0.330,,,,,,,,,,,,,,,,,,,,,,,,,,700,泥岩,6煤,153.180,0.130
,,,,,,,,,,BK014,6煤,6煤,194.480,3.110,,,,,,,,,,,,,,,,,,,,,,,,,,700,6煤,6煤,154.150,0.970
,,,,,,,,,,BK014,含炭泥岩,6煤,194.770,0.290,,,,,,,,,,,,,,,,,,,,,,,,,,700,泥岩,6煤,154.200,0.050
,,,,,,,,,,BK014,6煤,6煤,196.400,1.630,,,,,,,,,,,,,,,,,,,,,,,,,,700,6煤,6煤,154.250,0.050
,,,,,,,,,,BK014,炭质泥岩,6煤,196.740,0.340,,,,,,,,,,,,,,,,,,,,,,,,,,700,泥岩,6煤,154.450,0.200
,,,,,,,,,,BK014,6煤,6煤,202.700,5.960,,,,,,,,,,,,,,,,,,,,,,,,,,700,6煤,6煤,154.800,0.350
,,,,,,,,,,BK014,含炭泥岩,6煤,203.000,0.300,,,,,,,,,,,,,,,,,,,,,,,,,,700,细粒砂岩,,155.850,1.050
,,,,,,,,,,BK014,6煤,6煤,209.490,6.490,,,,,,,,,,,,,,,,,,,,,,,,,,700,6下煤,6下煤,156.920,1.070
,,,,,,,,,,BK014,泥岩,6煤,209.660,0.170,,,,,,,,,,,,,,,,,,,,,,,,,,700,细粒砂岩,,198.580,41.660
,,,,,,,,,,BK014,6煤,6煤,209.950,0.290,,,,,,,,,,,,,,,,,,,,,,,,,,700,7煤,7煤,198.900,0.320
,,,,,,,,,,BK014,泥岩,6煤,210.130,0.180,,,,,,,,,,,,,,,,,,,,,,,,,,700,泥岩,7煤,199.110,0.210
,,,,,,,,,,BK014,6煤,6煤,211.550,1.420,,,,,,,,,,,,,,,,,,,,,,,,,,700,7煤,7煤,200.460,1.350
,,,,,,,,,,BK014,粉砂岩,,217.940,6.390,,,,,,,,,,,,,,,,,,,,,,,,,,700,泥岩,7煤,200.490,0.030
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700,7煤,7煤,203.700,3.210
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700,泥岩,7煤,203.750,0.050
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700,7煤,7煤,205.050,1.300
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700,细粒砂岩,,210.700,5.650
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700,8煤,8煤,210.980,0.280
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700,泥岩,8煤,211.500,0.520
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700,8煤,8煤,212.200,0.700
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700,细粒砂岩,,213.670,1.470
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700,煤,9煤,213.960,0.290
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700,泥岩,9煤,214.070,0.110
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700,9煤,9煤,214.320,0.250
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700,泥岩,9煤,214.800,0.480
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700,9煤,9煤,215.280,0.480
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700,泥岩,9煤,215.540,0.260
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700,9煤,9煤,215.880,0.340
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700,粉砂岩,,231.040,15.160
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
