XC01,5煤,5煤,39.510,0.660,黑褐色，条带状结构，层状构造，断口平整，固结程度好，多 呈短柱状，条痕呈褐色，弱沥青光泽。,BK221,泥岩,,155.300,23.300,  深灰色，泥质结构，块状构造，断口平坦状，含少量炭化植物碎屑及茎叶化石，局部夹粉砂岩薄层，半坚硬。,BK220,煤,5下煤,88.760,0.610,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕，断口平坦状，污手，属暗淡型煤。其中有泥岩夹矸1层。,,,,,,
XC01,砂质泥岩,,43.870,4.360,灰绿色，泥质结构，块状构造，泥质胶结，为煤的底板。,,,,,,,BK220,泥岩,5下煤,89.410,0.650,  深灰色，泥质结构，块状构造，断口平坦状，含炭化植物碎屑及茎叶化石，局部具滑面。,,,,,,
XC01,粉砂岩,,47.470,3.600,粉砂岩，灰白色至灰色，粉砂质结构，层状构造。,,,,,,,BK220,煤,5下煤,89.740,0.330,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕，断口平坦状，污手，属暗淡型煤。其中有泥岩夹矸1层。,,,,,,
XC01,砂质泥岩,,48.080,0.610,灰黑色，泥质结构，层状构造。局部含有植物化石和炭屑。,,,,,,,BK220,砂质泥岩,,103.660,13.920,  灰色，深灰色，泥质结构，块状构造，断口不平坦状，含少量炭屑，夹细砂岩薄层。,,,,,,
XC01,煤,,48.690,0.610,灰黑色，条痕褐色，为半暗型煤，弱沥青光泽。,,,,,,,BK220,煤,6煤,126.040,22.380,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕，断口平坦状，污手，属暗淡型煤。,,,,,,
XC01,粉砂岩,,49.700,1.010,粉砂岩，灰白色至灰色，粉砂质结构，层状构造，断口平坦。 局部有植物化石。,,,,,,,BK220,泥岩,6煤,126.350,0.310,  深灰色，泥质结构，块状构造，断口平坦状，含炭化植物碎屑及茎叶化石，局部具滑面。,,,,,,
XC01,煤,,50.000,0.300,灰黑色，条痕褐色，为半暗型煤，弱沥青光泽。,,,,,,,BK220,煤,6煤,126.710,0.360,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕，断口平坦状，污手，属暗淡型煤。,,,,,,
XC01,泥岩,,57.430,7.430,灰绿色，泥质结构，层状构造。局部富含炭屑。,,,,,,,BK220,砂质泥岩,,137.600,10.890,  深灰色，泥质结构，块状构造，砂多以粉砂为主，分布不均一，断口不平坦状，含少量炭化植物碎屑及茎叶化石，夹粉砂岩薄层。,,,,,,
XC01,细粒砂岩,,59.660,2.230,灰白色，砂质结构，层状构造，局部含有少量炭屑。成分以石 英、长石为主。,,,,,,,BK220,细粒砂岩,,142.500,4.900,  灰白色，细粒砂状结构，厚层状，成分以石英为主，长石次之，云母少量，分选中等，泥质胶结，均匀层理，疏松，易碎。,,,,,,
XC01,泥岩,,60.970,1.310,灰绿色，泥质结构，块状构造，泥质胶结。破碎易风化，平坦 状断口。,,,,,,,,,,,,,,,,,,
XC01,细粒砂岩,,68.600,7.630,灰白色，砂粒结构，层状构造。成分以长石、石英为主。,,,,,,,,,,,,,,,,,,
XC01,泥岩,,72.590,3.990,灰绿色，泥质结构，块状构造，泥质胶结。易风化后破碎，平 坦状断口。,,,,,,,,,,,,,,,,,,
XC01,细粒砂岩,,77.790,5.200,灰色，细粒结构，层状构造。粒径约为0. 2-1cm，局部含有少量 炭屑。固结程度好。,,,,,,,,,,,,,,,,,,
XC01,5下煤,5下煤,78.970,1.180,灰黑色，条痕褐色，半暗型煤，弱沥青光泽。,,,,,,,,,,,,,,,,,,
XC01,砂质泥岩,5下煤,79.290,0.320,灰绿色，泥质结构，块状构造，泥质胶结，为煤的底板。,,,,,,,,,,,,,,,,,,
XC01,5下煤,5下煤,79.540,0.250,灰黑色，条痕褐色，半暗型煤，弱沥青光泽。,,,,,,,,,,,,,,,,,,
