15-6,5煤,5煤,68.210,1.730,15-5,泥岩,5下煤,68.100,0.750,15-4,6上煤,6上煤,81.560,0.560,15-3,粉砂岩,,70.180,3.000,15-2,泥岩,6煤,147.390,0.250,15-1,泥岩,6煤,132.840,0.350,15-7,5煤,5煤,74.130,4.060,15-8,泥岩,,135.840,0.900,BK027,泥岩,,84.430,16.050,BK026,泥岩,5煤,73.330,0.200,BK025,泥岩,5煤,77.950,0.300,BK024,含炭泥岩,5煤,83.490,0.200,BK023,5煤,5煤,95.400,2.340,BK022,5煤,5煤,96.230,0.430
15-6,泥岩,5煤,68.560,0.350,15-5,5下煤,5下煤,71.090,2.990,15-4,泥岩,,85.760,4.200,15-3,泥岩,,71.760,1.580,15-2,6煤,6煤,148.990,1.600,15-1,6煤,6煤,136.490,3.650,15-7,泥岩,5煤,74.330,0.200,15-8,6-1煤,6-1煤,137.090,1.250,BK027,5下煤,5下煤,86.640,2.210,BK026,5煤,5煤,74.190,0.860,BK025,5煤,5煤,78.880,0.930,BK024,5煤,5煤,85.850,2.360,BK023,炭质泥岩,5煤,95.640,0.240,BK022,泥岩,5煤,96.450,0.220
15-6,5煤,5煤,68.830,0.270,15-5,泥岩,,80.550,9.460,15-4,6-1煤,6-1煤,86.100,0.340,15-3,粉砂岩,,73.160,1.400,15-2,泥岩,,151.190,2.200,15-1,泥岩,6煤,136.740,0.250,15-7,5煤,5煤,74.730,0.400,15-8,泥岩,,138.790,1.700,BK027,泥岩,,99.180,12.540,BK026,泥岩,,76.200,2.010,BK025,炭质泥岩,5煤,79.090,0.210,BK024,含炭泥岩,5煤,86.070,0.220,BK023,5煤,5煤,96.820,1.180,BK022,5煤,5煤,97.130,0.680
15-6,泥岩,5煤,69.180,0.350,15-5,煤,,80.950,0.400,15-4,泥岩,,92.320,6.220,15-3,泥岩,,76.930,3.770,15-2,6下煤,6下煤,151.390,0.200,15-1,6煤,6煤,151.590,14.850,15-7,泥岩,5煤,75.130,0.400,15-8,6煤,6煤,139.140,0.350,BK027,煤,,99.600,0.420,BK026,细粒砂岩,,91.760,15.560,BK025,5煤,5煤,79.830,0.740,BK024,5煤,5煤,87.180,1.110,BK023,含炭泥岩,5煤,96.990,0.170,BK022,泥岩,5煤,98.780,1.650
15-6,5煤,5煤,70.060,0.880,15-5,炭质泥岩,,81.350,0.400,15-4,6煤,6煤,93.020,0.700,15-3,5下煤,5下煤,77.180,0.250,15-2,泥岩,,167.400,16.010,15-1,泥岩,6煤,151.790,0.200,15-7,5煤,5煤,75.630,0.500,15-8,泥岩,6煤,139.590,0.450,BK027,泥岩,,107.430,7.830,BK026,中粒砂岩,,102.560,10.800,BK025,泥岩,5煤,80.770,0.940,BK024,泥岩,5煤,87.390,0.210,BK023,5煤,5煤,97.870,0.880,BK022,5煤,5煤,99.360,0.580
15-6,泥岩,5煤,70.380,0.320,15-5,煤,,81.800,0.450,15-4,泥岩,6煤,93.320,0.300,15-3,泥岩,5下煤,77.380,0.200,,,,,,15-1,6煤,6煤,157.290,5.500,15-7,泥岩,,77.130,1.500,15-8,6煤,6煤,143.220,3.630,BK027,6上煤,6上煤,108.110,0.680,BK026,泥岩,,108.930,6.370,BK025,5煤,5煤,81.500,0.730,BK024,5煤,5煤,88.270,0.880,BK023,炭质泥岩,5煤,98.140,0.270,BK022,泥岩,5煤,101.120,1.760
15-6,5煤,5煤,71.760,1.380,15-5,炭质泥岩,,82.700,0.900,15-4,6煤,6煤,95.220,1.900,15-3,5下煤,5下煤,77.580,0.200,,,,,,15-1,砂质泥岩,,160.090,2.800,15-7,粉砂岩,,78.130,1.000,15-8,泥岩,6煤,143.620,0.400,BK027,粉砂岩,,120.870,12.760,BK026,粉砂岩,,110.160,1.230,BK025,泥岩,,98.110,16.610,BK024,含炭泥岩,5煤,88.890,0.620,BK023,5煤,5煤,98.760,0.620,BK022,5煤,5煤,104.190,3.070
15-6,泥岩,5煤,72.100,0.340,15-5,泥岩,,83.600,0.900,15-4,泥岩,6煤,95.350,0.130,15-3,泥岩,5下煤,77.830,0.250,,,,,,15-1,6下煤,6下煤,161.190,1.100,15-7,细粒砂岩,,81.130,3.000,15-8,6煤,6煤,145.270,1.650,BK027,泥岩,,131.000,10.130,BK026,泥岩,,115.700,5.540,BK025,5下煤,5下煤,100.280,2.170,BK024,5煤,5煤,89.610,0.720,BK023,炭质泥岩,5煤,98.950,0.190,BK022,泥岩,5煤,105.030,0.840
15-6,5煤,5煤,75.260,3.160,15-5,6上煤,6上煤,84.050,0.450,15-4,6煤,6煤,98.550,3.200,15-3,5下煤,5下煤,78.030,0.200,,,,,,15-1,泥岩,,171.920,10.730,15-7,泥岩,,86.730,5.600,15-8,泥岩,6煤,145.620,0.350,BK027,煤,,131.450,0.450,BK026,中粒砂岩,,117.160,1.460,BK025,泥岩,,121.760,21.480,BK024,泥岩,5煤,89.830,0.220,BK023,5煤,5煤,99.490,0.540,BK022,5煤,5煤,106.800,1.770
15-6,泥岩,,78.770,3.510,15-5,泥岩,6上煤,84.300,0.250,15-4,泥岩,6煤,99.050,0.500,15-3,煤,5下煤,79.030,1.000,,,,,,,,,,,15-7,含炭泥岩,,87.130,0.400,15-8,6煤,6煤,147.420,1.800,BK027,泥岩,,142.830,11.380,BK026,泥岩,,134.320,17.160,BK025,6上煤,6上煤,122.190,0.430,BK024,5煤,5煤,90.410,0.580,BK023,泥岩,5煤,99.670,0.180,BK022,炭质泥岩,5煤,107.050,0.250
15-6,细粒砂岩,,80.270,1.500,15-5,6上煤,6上煤,84.930,0.630,15-4,6煤,6煤,103.540,4.490,15-3,5下煤,5下煤,81.840,2.810,,,,,,,,,,,15-7,泥岩,,91.230,4.100,15-8,泥岩,6煤,147.620,0.200,BK027,6煤,6煤,144.630,1.800,BK026,泥质粉砂岩,,144.410,10.090,BK025,泥岩,6上煤,123.290,1.100,BK024,泥岩,5煤,90.720,0.310,BK023,5煤,5煤,100.440,0.770,BK022,5煤,5煤,108.310,1.260
15-6,泥岩,,81.600,1.330,15-5,泥岩,6上煤,85.430,0.500,15-4,泥岩,6煤,103.740,0.200,15-3,泥岩,,87.520,5.680,,,,,,,,,,,15-7,5下煤,5下煤,94.030,2.800,15-8,6煤,6煤,154.320,6.700,BK027,泥岩,6煤,145.550,0.920,BK026,6-1煤,6-1煤,145.170,0.760,BK025,6上煤,6上煤,123.710,0.420,BK024,5煤,5煤,91.380,0.660,BK023,泥岩,5煤,101.290,0.850,BK022,泥岩,5煤,108.730,0.420
15-6,5下煤,5下煤,84.380,2.780,15-5,6上煤,6上煤,85.630,0.200,15-4,6煤,6煤,110.940,7.200,15-3,粉砂岩,,93.580,6.060,,,,,,,,,,,15-7,泥岩,,106.580,12.550,15-8,泥岩,6煤,154.570,0.250,BK027,6煤,6煤,146.380,0.830,BK026,泥质粉砂岩,,147.480,2.310,BK025,泥岩,,124.640,0.930,BK024,泥岩,,110.290,18.910,BK023,5煤,5煤,101.860,0.570,BK022,5煤,5煤,109.100,0.370
