,,,,,,,,,,291,5煤,5煤,143.390,0.660,196,泥岩,6-1煤,179.920,0.200,290,泥岩,7煤,271.360,0.070,,,,,
,,,,,,,,,,291,粉砂岩,5煤,146.920,3.530,196,6-1煤,6-1煤,181.540,1.620,290,7煤,7煤,280.400,9.040,,,,,
,,,,,,,,,,291,5煤,5煤,147.130,0.210,196,泥岩,6-1煤,181.780,0.240,290,泥岩,7煤,280.570,0.170,,,,,
,,,,,,,,,,291,泥岩,5煤,147.290,0.160,196,6-1煤,6-1煤,182.310,0.530,290,7煤,7煤,280.690,0.120,,,,,
,,,,,,,,,,291,5煤,5煤,147.430,0.140,196,泥岩,6-1煤,182.430,0.120,290,泥岩,7煤,280.820,0.130,,,,,
,,,,,,,,,,291,泥岩,5煤,147.770,0.340,196,6-1煤,6-1煤,183.170,0.740,290,7煤,7煤,283.220,2.400,,,,,
,,,,,,,,,,291,5煤,5煤,147.950,0.180,196,泥岩,6-1煤,183.300,0.130,290,泥岩,7煤,283.590,0.370,,,,,
,,,,,,,,,,291,泥岩,5煤,148.090,0.140,196,6-1煤,6-1煤,183.750,0.450,290,7煤,7煤,284.070,0.480,,,,,
,,,,,,,,,,291,5煤,5煤,148.310,0.220,196,泥岩,6-1煤,184.040,0.290,290,粉砂岩,,285.400,1.330,,,,,
,,,,,,,,,,291,泥岩,5煤,148.520,0.210,196,6-1煤,6-1煤,185.080,1.040,290,8煤,8煤,286.070,0.670,,,,,
,,,,,,,,,,291,5煤,5煤,148.620,0.100,196,泥岩,6-1煤,185.370,0.290,290,泥岩,8煤,289.640,3.570,,,,,
,,,,,,,,,,291,粉砂岩,,160.390,11.770,196,6-1煤,6-1煤,187.140,1.770,290,8煤,8煤,290.570,0.930,,,,,
,,,,,,,,,,291,5下煤,5下煤,160.930,0.540,196,泥岩,,187.720,0.580,290,泥岩,,293.140,2.570,,,,,
,,,,,,,,,,291,泥岩,5下煤,161.050,0.120,196,煤,,187.880,0.160,290,9煤,9煤,293.580,0.440,,,,,
,,,,,,,,,,291,5下煤,5下煤,161.150,0.100,196,泥岩,,188.380,0.500,290,泥岩,,399.880,106.300,,,,,
,,,,,,,,,,291,泥岩,5下煤,161.250,0.100,196,煤,,188.580,0.200,290,10煤,10煤,400.360,0.480,,,,,
,,,,,,,,,,291,5下煤,5下煤,161.960,0.710,196,泥岩,,188.680,0.100,290,泥岩,,450.200,49.840,,,,,
,,,,,,,,,,291,泥岩,5下煤,162.060,0.100,196,煤,,188.820,0.140,290,11煤,11煤,451.730,1.530,,,,,
,,,,,,,,,,291,5下煤,5下煤,162.220,0.160,196,泥岩,,193.410,4.590,290,泥岩,11煤,451.850,0.120,,,,,
,,,,,,,,,,291,泥岩,5下煤,162.320,0.100,196,6煤,6煤,193.580,0.170,290,11煤,11煤,452.420,0.570,,,,,
,,,,,,,,,,291,5下煤,5下煤,162.430,0.110,196,泥岩,6煤,193.690,0.110,290,泥岩,11煤,453.650,1.230,,,,,
,,,,,,,,,,291,泥岩,5下煤,162.670,0.240,196,6煤,6煤,194.130,0.440,290,11煤,11煤,453.720,0.070,,,,,
,,,,,,,,,,291,5下煤,5下煤,162.820,0.150,196,泥岩,6煤,194.250,0.120,290,泥岩,11煤,453.800,0.080,,,,,
,,,,,,,,,,291,粉砂岩,5下煤,163.000,0.180,196,6煤,6煤,194.780,0.530,290,11煤,11煤,453.970,0.170,,,,,
,,,,,,,,,,291,5下煤,5下煤,163.580,0.580,196,泥岩,6煤,195.460,0.680,290,泥岩,11煤,454.300,0.330,,,,,
,,,,,,,,,,291,泥岩,5下煤,163.680,0.100,196,6煤,6煤,197.040,1.580,290,11煤,11煤,454.570,0.270,,,,,
,,,,,,,,,,291,5下煤,5下煤,163.930,0.250,196,泥岩,6煤,197.520,0.480,290,泥岩,11煤,461.790,7.220,,,,,
,,,,,,,,,,291,泥岩,5下煤,164.080,0.150,196,6煤,6煤,199.200,1.680,290,11煤,11煤,462.680,0.890,,,,,
,,,,,,,,,,291,5下煤,5下煤,164.750,0.670,196,泥岩,6煤,199.340,0.140,290,泥岩,11煤,462.960,0.280,,,,,
,,,,,,,,,,291,泥岩,5下煤,164.960,0.210,196,6煤,6煤,199.580,0.240,290,11煤,11煤,464.620,1.660,,,,,
,,,,,,,,,,291,5下煤,5下煤,165.380,0.420,196,泥岩,6煤,199.920,0.340,290,粉砂岩,,760.890,296.270,,,,,
,,,,,,,,,,291,泥岩,5下煤,165.580,0.200,196,6煤,6煤,213.920,14.000,290,12煤,12煤,761.150,0.260,,,,,
,,,,,,,,,,291,5下煤,5下煤,165.880,0.300,196,泥岩,6煤,214.150,0.230,290,泥岩,12煤,761.250,0.100,,,,,
,,,,,,,,,,291,泥岩,5下煤,165.990,0.110,196,6煤,6煤,231.540,17.390,290,12煤,12煤,762.170,0.920,,,,,
,,,,,,,,,,291,5下煤,5下煤,166.730,0.740,196,泥岩,6煤,231.810,0.270,290,泥岩,,904.220,142.050,,,,,
,,,,,,,,,,291,粉砂岩,5下煤,166.880,0.150,196,6煤,6煤,238.040,6.230,,,,,,,,,,
