BK148,煤,6煤,200.06,200.490,黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，弱丝绢光泽，呈褐 色条痕，断口平坦状，污手，风化易碎，属暗淡型煤，其中有泥岩夹矸6层 ，炭质泥岩夹矸3层。
BK148,泥岩,,200.49,206.800,灰黑色，泥质结构，块状构造，断口平坦状，含炭化植物碎屑及茎叶化 石，夹粉砂岩薄层。
BK148,粉砂岩,,206.8,213.000,灰色，粉砂状结构，厚层状构造，泥质胶结，均匀层理，含少量炭屑， 局部泥质含量较高，夹细砂岩薄层。
BK148,砂质泥岩,,213,226.000,深灰色，泥质结构，块状构造，砂多以粉砂为主，分布不均一，断口平 坦状，含炭化植物碎屑及茎叶化石。
BK148,泥岩,,226,235.520,黑灰色，泥质结构，块状构造，断口平坦状，含少量炭屑
BK148,煤,7煤,235.52,236.560,黑褐色，块状，暗淡型煤
BK148,泥岩,,236.56,237.430,黑灰色，泥质结构，块状构造，断口平坦状，含炭屑
BK148,煤,,237.43,237.760,黑褐色，块状，暗淡型煤。
BK148,砂质泥岩,,237.76,247.670,深灰色，泥质结构，块状构造，砂多以粉砂为主，分布不均一，断口平 坦状，含少量炭屑。
BK148,细粒砂岩,,247.67,253.300,灰色，细粒砂状结构，厚层状构造，成分以石英为主，长石次之，云母 少量，分选中等，泥质胶结，均匀层理。
BK148,砂质泥岩,,253.3,266.300,深灰色，泥质结构，块状构造，砂多以粉砂为主，分布不均一，断口平 坦状，含少量炭屑。
